id,object_id,intr_rate_type_nm,save_trm,intr_rate,intr_rate2,rsrv_type_nm,content_type_id
11102,563,단리,6,2.4,2.4,정액적립식,5
11103,563,단리,36,3.3,3.3,자유적립식,5
11104,563,단리,24,3.3,3.3,자유적립식,5
11105,563,단리,12,3.6,3.6,자유적립식,5
11106,563,단리,6,3.6,3.6,자유적립식,5
11107,563,단리,3,2.5,2.5,자유적립식,5
11108,563,단리,1,1.2,1.2,자유적립식,5
11109,563,단리,36,4.0,4.2,정액적립식,5
11110,563,단리,24,4.0,4.2,정액적립식,5
11111,563,단리,12,4.3,4.5,정액적립식,5
11112,563,단리,6,2.1,2.1,정액적립식,5
11113,563,단리,6,2.1,2.1,자유적립식,5
11114,563,단리,12,3.5,3.5,자유적립식,5
11115,563,단리,24,3.6,3.6,자유적립식,5
11116,563,단리,36,3.6,3.6,자유적립식,5
11117,563,복리,36,1.8,1.8,정액적립식,5
11118,563,복리,24,1.7,1.7,정액적립식,5
11119,563,복리,12,1.6,1.6,정액적립식,5
11120,563,복리,6,1.6,1.6,정액적립식,5
11121,563,단리,36,1.8,1.8,정액적립식,5
11122,563,단리,24,1.7,1.7,정액적립식,5
11123,563,단리,12,1.6,1.6,정액적립식,5
11124,563,단리,6,1.6,1.6,정액적립식,5
11125,564,단리,12,4.1,4.1,자유적립식,5
11126,564,복리,12,4.1,4.1,자유적립식,5
11127,564,복리,36,1.8,1.8,정액적립식,5
11128,564,복리,24,1.7,1.7,정액적립식,5
11129,564,복리,12,1.6,1.6,정액적립식,5
11130,564,복리,6,1.6,1.6,정액적립식,5
11131,564,단리,36,1.8,1.8,정액적립식,5
11132,564,단리,24,1.7,1.7,정액적립식,5
11133,564,단리,12,1.6,1.6,정액적립식,5
11134,564,단리,6,1.6,1.6,정액적립식,5
11135,564,단리,36,2.7,2.7,자유적립식,5
11136,564,단리,24,2.6,2.6,자유적립식,5
11137,564,단리,12,3.3,3.3,자유적립식,5
11138,564,단리,6,2.4,2.4,자유적립식,5
11139,565,단리,6,3.0,3.0,정액적립식,5
11140,565,단리,12,4.0,4.0,정액적립식,5
11141,565,단리,24,3.8,3.8,정액적립식,5
11142,566,단리,24,3.8,3.8,정액적립식,5
11143,566,단리,12,4.0,4.0,정액적립식,5
11144,566,단리,6,3.0,3.0,정액적립식,5
11145,567,단리,6,3.0,3.0,정액적립식,5
11146,567,단리,12,4.0,4.0,정액적립식,5
11147,567,단리,24,3.8,3.8,정액적립식,5
11148,568,단리,6,2.0,2.0,정액적립식,5
11149,568,단리,12,3.5,3.5,정액적립식,5
11150,568,단리,24,3.0,3.0,정액적립식,5
11151,568,단리,36,3.0,3.0,정액적립식,5
11152,568,단리,6,2.5,2.5,자유적립식,5
11153,568,단리,12,3.0,3.0,자유적립식,5
11154,568,단리,24,2.0,2.0,자유적립식,5
11155,568,단리,36,2.0,2.0,자유적립식,5
11156,568,복리,36,3.0,3.0,자유적립식,5
11157,568,복리,24,3.0,3.0,자유적립식,5
11158,568,복리,12,3.0,3.0,자유적립식,5
11159,568,복리,36,3.0,3.0,정액적립식,5
11160,568,복리,24,3.0,3.0,정액적립식,5
11161,568,복리,12,3.0,3.0,정액적립식,5
11162,568,단리,36,3.0,3.0,자유적립식,5
11163,568,단리,24,3.0,3.0,자유적립식,5
11164,568,단리,12,3.0,3.0,자유적립식,5
11165,568,단리,36,3.0,3.0,정액적립식,5
11166,568,단리,24,3.0,3.0,정액적립식,5
11167,568,단리,12,3.0,3.0,정액적립식,5
11168,568,단리,6,1.6,1.6,정액적립식,5
11169,568,단리,12,1.6,1.6,정액적립식,5
11170,568,단리,24,1.7,1.7,정액적립식,5
11171,568,단리,36,1.8,1.8,정액적립식,5
11172,568,복리,36,3.5,3.5,정액적립식,5
11173,568,복리,24,3.5,3.5,정액적립식,5
11174,568,복리,12,3.7,3.7,정액적립식,5
11175,568,복리,6,1.6,1.6,정액적립식,5
11176,568,단리,36,3.5,3.5,정액적립식,5
11177,568,단리,24,3.5,3.5,정액적립식,5
11178,568,단리,12,3.7,3.7,정액적립식,5
11179,568,단리,6,1.6,1.6,정액적립식,5
11180,569,복리,36,3.8,3.8,자유적립식,5
11181,569,복리,24,3.8,3.8,자유적립식,5
11182,569,복리,12,3.9,3.9,자유적립식,5
11183,569,복리,6,3.7,3.7,자유적립식,5
11184,569,복리,36,3.8,3.8,정액적립식,5
11185,569,복리,24,3.8,3.8,정액적립식,5
11186,569,복리,12,3.9,3.9,정액적립식,5
11187,569,복리,6,3.7,3.7,정액적립식,5
11188,569,단리,36,3.8,3.8,자유적립식,5
11189,569,단리,24,3.8,3.8,자유적립식,5
11190,569,단리,12,3.9,3.9,자유적립식,5
11191,569,단리,6,3.7,3.7,자유적립식,5
11192,569,단리,36,3.8,3.8,정액적립식,5
11193,569,단리,24,3.8,3.8,정액적립식,5
11194,569,단리,12,3.9,3.9,정액적립식,5
11195,569,단리,6,3.7,3.7,정액적립식,5
11196,569,단리,36,3.0,3.0,정액적립식,5
11197,569,단리,24,3.0,3.0,정액적립식,5
11198,569,단리,12,3.5,3.5,정액적립식,5
11199,569,단리,6,2.0,2.0,정액적립식,5
11200,569,단리,6,1.6,1.6,정액적립식,5
11201,569,단리,12,3.7,3.7,정액적립식,5
11202,569,단리,24,3.5,3.5,정액적립식,5
11203,569,단리,36,3.5,3.5,정액적립식,5
11204,569,복리,6,1.6,1.6,정액적립식,5
11205,569,복리,12,3.7,3.7,정액적립식,5
11206,569,복리,24,3.5,3.5,정액적립식,5
11207,569,복리,36,3.5,3.5,정액적립식,5
11208,569,복리,36,4.4,4.4,정액적립식,5
11209,569,복리,24,4.4,4.4,정액적립식,5
11210,569,복리,12,4.4,4.4,정액적립식,5
11211,569,복리,6,3.0,3.0,정액적립식,5
11212,569,단리,36,4.4,4.4,정액적립식,5
11213,569,단리,24,4.4,4.4,정액적립식,5
11214,569,단리,12,4.4,4.4,정액적립식,5
11215,569,단리,6,3.0,3.0,정액적립식,5
11216,570,단리,6,3.0,3.0,정액적립식,5
11217,570,단리,12,4.0,4.0,정액적립식,5
11218,570,단리,24,4.1,4.1,정액적립식,5
11219,570,단리,36,3.0,3.0,정액적립식,5
11220,570,복리,36,3.4,3.4,자유적립식,5
11221,570,단리,6,3.5,3.5,정액적립식,5
11222,570,단리,12,3.8,3.8,정액적립식,5
11223,570,단리,24,3.5,3.5,정액적립식,5
11224,570,단리,36,3.5,3.5,정액적립식,5
11225,570,복리,6,3.5,3.5,정액적립식,5
11226,570,복리,12,3.8,3.8,정액적립식,5
11227,570,복리,24,3.5,3.5,정액적립식,5
11228,570,복리,36,3.5,3.5,정액적립식,5
11229,570,복리,24,3.4,3.4,자유적립식,5
11230,570,복리,12,3.55,3.55,자유적립식,5
11231,570,복리,6,3.4,3.4,자유적립식,5
11232,570,복리,3,3.3,3.3,자유적립식,5
11233,570,복리,1,2.0,2.0,자유적립식,5
11234,570,단리,36,3.4,3.4,자유적립식,5
11235,570,단리,24,3.4,3.4,자유적립식,5
11236,570,단리,12,3.55,3.55,자유적립식,5
11237,570,단리,6,3.4,3.4,자유적립식,5
11238,570,단리,3,3.3,3.3,자유적립식,5
11239,570,단리,1,2.0,2.0,자유적립식,5
11240,570,단리,36,3.5,3.5,정액적립식,5
11241,570,단리,24,3.8,3.8,정액적립식,5
11242,570,단리,12,4.0,4.0,정액적립식,5
11243,570,단리,6,3.2,3.2,정액적립식,5
11244,570,단리,36,1.1,1.1,자유적립식,5
11245,570,단리,24,1.1,1.1,자유적립식,5
11246,570,단리,12,1.2,1.2,자유적립식,5
11247,570,단리,6,0.7,0.7,자유적립식,5
11248,570,단리,36,1.0,1.0,정액적립식,5
11249,570,단리,24,1.0,1.0,정액적립식,5
11250,570,단리,12,1.0,1.0,정액적립식,5
11251,571,단리,36,2.5,2.5,정액적립식,5
11252,571,단리,24,3.0,3.0,정액적립식,5
11253,571,단리,12,3.6,3.6,정액적립식,5
11254,571,단리,6,3.0,3.0,정액적립식,5
11255,571,복리,36,3.8,3.8,자유적립식,5
11256,571,복리,24,3.8,3.8,자유적립식,5
11257,571,복리,12,3.9,3.9,자유적립식,5
11258,571,복리,6,3.7,3.7,자유적립식,5
11259,571,복리,36,3.8,3.8,정액적립식,5
11260,571,복리,24,3.8,3.8,정액적립식,5
11261,571,복리,12,3.9,3.9,정액적립식,5
11262,571,복리,6,3.7,3.7,정액적립식,5
11263,571,단리,36,3.8,3.8,자유적립식,5
11264,571,단리,24,3.8,3.8,자유적립식,5
11265,571,단리,12,3.9,3.9,자유적립식,5
11266,571,단리,6,3.7,3.7,자유적립식,5
11267,571,단리,36,3.8,3.8,정액적립식,5
11268,571,단리,24,3.8,3.8,정액적립식,5
11269,571,단리,12,3.9,3.9,정액적립식,5
11270,571,단리,6,3.7,3.7,정액적립식,5
11271,571,단리,6,2.0,2.0,정액적립식,5
11272,571,단리,12,3.0,3.0,정액적립식,5
11273,571,단리,24,3.2,3.2,정액적립식,5
11274,571,단리,36,3.2,3.2,정액적립식,5
11275,571,단리,36,3.5,3.5,정액적립식,5
11276,571,단리,24,3.8,3.8,정액적립식,5
11277,571,단리,12,4.0,4.0,정액적립식,5
11278,571,단리,6,3.2,3.2,정액적립식,5
11279,571,단리,36,3.0,3.0,정액적립식,5
11280,571,단리,24,3.0,3.0,정액적립식,5
11281,571,단리,12,3.0,3.0,정액적립식,5
11282,571,단리,6,2.5,2.5,정액적립식,5
